"name","district","sale_price","asking_price","asking_price_change_quater","asking_price_change_year","gross_rental_yield","rental_price_change_year","bedrooms","bathrooms","internal_area","floors","towers","year_built","has_elevator","has_parking","has_security","has_cctv","has_pool","has_sauna","has_gym","has_garden_bbq","has_playground","has_shop_on_premise","has_restaurant_on_premise","has_wifi","city_train_distance","express_way_distance","close_city_train","close_express_way"
"The One Plus D (Phase 3) Hua Mak 12","Bang Kapi",3000000.0,54549.0,0.0,-5.02,5.72,-12.16,2.0,1.0,52.0,8.0,2.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,9400.0,5500.0,0.0,0.0
"The One Plus D (Phase 3) Hua Mak 12","Bang Kapi",3190000.0,54549.0,0.0,-5.02,5.72,-12.16,2.0,1.0,52.0,8.0,2.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,9400.0,5500.0,0.0,0.0
"Lumpini Center Nawamin","Bang Kapi",840000.0,45222.0,0.0,15.44,5.28,-11.16,1.0,1.0,28.0,8.0,3.0,2006.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,10000.0,6500.0,0.0,0.0
"Living Nest Ramkhamhaeng","Bang Kapi",1970000.0,67246.0,-13.72,-15.65,5.37,-2.59,1.0,1.0,29.0,8.0,3.0,2015.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,8200.0,4800.0,0.0,0.0
"Chewathai Ramkamhaeng","Bang Kapi",1850000.0,78334.0,0.0,6.75,5.09,3.11,1.0,1.0,31.0,36.0,1.0,2013.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7700.0,4100.0,0.0,0.0
"Chewathai Ramkamhaeng","Bang Kapi",1990000.0,78334.0,0.0,6.75,5.09,3.11,1.0,1.0,30.0,36.0,1.0,2013.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7700.0,4100.0,0.0,0.0
"Chewathai Ramkamhaeng","Bang Kapi",1950000.0,78334.0,0.0,6.75,5.09,3.11,1.0,1.0,30.0,36.0,1.0,2013.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7700.0,4100.0,0.0,0.0
"Lumpini Ville Ramkhamhaeng 26","Bang Kapi",2090000.0,30243.0,0.0,-23.5,13.13,34.55,1.0,1.0,33.0,8.0,5.0,2009.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,8000.0,3400.0,0.0,0.0
"Baan Sukhothai Ramkhamhaeng","Bang Kapi",2190000.0,34400.0,0.0,0.56,11.79,0.0,2.0,1.0,60.0,10.0,18.0,1994.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8000.0,4500.0,0.0,0.0
"IDEO New Rama 9","Bang Kapi",6200000.0,98798.0,-18.09,-19.2,3.91,-29.07,2.0,2.0,52.0,24.0,1.0,2020.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4800.0,1100.0,0.0,0.0
"IDEO New Rama 9","Bang Kapi",4850000.0,98798.0,-18.09,-19.2,3.91,-29.07,2.0,1.0,52.0,24.0,1.0,2020.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4800.0,1100.0,0.0,0.0
